measurement,E_ab,E_abp,E_apb,E_apbp,S,backend,job_ab,job_abp,job_apb,job_apbp
1,0.6796875,0.693359375,0.685546875,-0.7080078125,-0.0361328125,ibm_kingston,d8c56f38amns73bj0pt0,d8c56h2jki0s73aqnqhg,d8c56j47avuc73dqf720,d8c56l38ch0s738ub9m0
2,0.6787109375,0.685546875,0.685546875,-0.7177734375,-0.0390625,ibm_kingston,d8c56n2jki0s73aqnqp0,d8c579k7avuc73dqf810,d8c57bb8ch0s738ubajg,d8c57db8ch0s738ubang
3,0.693359375,0.6953125,0.6611328125,-0.697265625,-0.0380859375,ibm_kingston,d8c57f38ch0s738ubarg,d8c57hc7avuc73dqf8bg,d8c57k38amns73bj0rm0,d8c57ms7avuc73dqf8l0
4,0.6806640625,0.685546875,0.68359375,-0.689453125,-0.0107421875,ibm_kingston,d8c57or8ch0s738ubb90,d8c57rajki0s73aqns90,d8c57tb8amns73bj0s2g,d8c57vc7avuc73dqf91g
5,0.6796875,0.6640625,0.662109375,-0.6796875,-0.001953125,ibm_kingston,d8c581b8amns73bj0s7g,d8c58ij8amns73bj0st0,d8c58kijki0s73aqntbg,d8c58mk7avuc73dqfa4g
6,0.6806640625,0.712890625,0.6669921875,-0.681640625,-0.046875,ibm_kingston,d8c58oc7avuc73dqfa7g,d8c58qajki0s73aqnth0,d8c58sb8amns73bj0t9g,d8c58u2jki0s73aqntm0
7,0.677734375,0.6611328125,0.6962890625,-0.72265625,-0.009765625,ibm_kingston,d8c59038amns73bj0th0,d8c59238ch0s738ubcvg,d8c594ajki0s73aqntv0,d8c596b8amns73bj0tqg
8,0.6845703125,0.681640625,0.6708984375,-0.6826171875,-0.0087890625,ibm_kingston,d8c598b8amns73bj0ttg,d8c59ab8amns73bj0u1g,d8c59cajki0s73aqnua0,d8c59eb8amns73bj0u7g
9,0.673828125,0.681640625,0.6630859375,-0.671875,-0.0166015625,ibm_kingston,d8c59gajki0s73aqnuf0,d8c59i2jki0s73aqnuj0,d8c59k47avuc73dqfbbg,d8c59n2jki0s73aqnur0
10,0.6796875,0.6767578125,0.6865234375,-0.681640625,0.0078125,ibm_kingston,d8c59p38amns73bj0uog,d8c59s38ch0s738ube20,d8c59tr8ch0s738ube5g,d8c5a038amns73bj0v2g
11,0.703125,0.7041015625,0.6748046875,-0.6640625,0.009765625,ibm_kingston,d8c5a22jki0s73aqnvbg,d8c5a52jki0s73aqnvhg,d8c5a6qjki0s73aqnvl0,d8c5a8s7avuc73dqfcc0
12,0.6826171875,0.68359375,0.69921875,-0.68359375,0.0146484375,ibm_kingston,d8c5aaj8ch0s738ubep0,d8c5ack7avuc73dqfcj0,d8c5af47avuc73dqfcmg,d8c5ahb8amns73bj0vq0
13,0.6875,0.6884765625,0.673828125,-0.68359375,-0.0107421875,ibm_kingston,d8c5ajr8amns73bj0vtg,d8c5alqjki0s73aqo070,d8c5aoj8amns73bj103g,d8c5bb47avuc73dqfe20
14,0.6826171875,0.6650390625,0.6787109375,-0.7099609375,-0.013671875,ibm_kingston,d8c5bd38amns73bj110g,d8c5bf38ch0s738ubgcg,d8c5bgqjki0s73aqo1gg,d8c5biqjki0s73aqo1k0
15,0.7041015625,0.6943359375,0.693359375,-0.697265625,0.005859375,ibm_kingston,d8c5bkqjki0s73aqo1pg,d8c5bmqjki0s73aqo1tg,d8c5bp2jki0s73aqo210,d8c5br2jki0s73aqo25g
